Date,ORCL,AMZN,INTC,MSFT,AMD,NVDA,META,GOOG,AVGO,AAPL
2012-11-19,30.139999,11.485500,20.250000,26.730000,1.920000,2.925000,22.920000,16.642868,32.750000,20.204643
2012-11-20,30.200001,11.689000,19.510000,26.709999,1.880000,2.872500,23.100000,16.686705,32.810001,20.032499
2012-11-21,30.400000,11.901500,19.360001,26.950001,1.870000,2.955000,24.320000,16.584587,32.820000,20.060715
2012-11-23,30.920000,11.994000,19.719999,27.700001,1.950000,2.975000,24.000000,16.636890,33.549999,20.410713
2012-11-26,30.959999,12.181000,19.889999,27.389999,1.870000,3.027500,25.940001,16.467028,34.040001,21.054644
2012-11-27,31.219999,12.170000,19.930000,27.080000,1.880000,3.040000,26.150000,16.705135,34.119999,20.885000
2012-11-28,31.799999,12.355500,20.090000,27.360001,1.960000,3.065000,26.360001,17.027925,34.560001,20.819286
2012-11-29,31.840000,12.563500,19.530001,26.950001,2.040000,3.010000,27.320000,17.232658,35.099998,21.048571
2012-11-30,32.180000,12.602500,19.570000,26.620001,2.200000,2.992500,28.000000,17.394053,35.099998,20.902857
2012-12-03,32.310001,12.516500,19.540001,26.430000,2.360000,2.937500,27.040001,17.316343,34.810001,20.935356
2012-12-04,32.380001,12.624500,19.969999,26.370001,2.260000,3.025000,27.459999,17.211239,34.919998,20.566071
2012-12-05,32.000000,12.698000,19.850000,26.670000,2.290000,2.990000,27.709999,17.131289,34.529999,19.242500
2012-12-06,32.029999,12.668500,20.160000,26.730000,2.340000,2.995000,26.969999,17.213730,35.119999,19.544287
2012-12-07,31.920000,12.663500,20.160000,26.459999,2.360000,2.990000,27.490000,17.041374,34.250000,19.044643
2012-12-10,32.070000,12.388500,20.080000,26.940001,2.320000,3.090000,27.840000,17.071512,34.450001,18.922144
2012-12-11,32.340000,12.534500,20.650000,27.320000,2.330000,3.162500,27.980000,17.356941,34.560001,19.335358
2012-12-12,31.940001,12.588000,20.670000,27.240000,2.370000,3.130000,27.580000,17.373878,34.570000,19.250000
2012-12-13,31.610001,12.562500,20.490000,27.110001,2.410000,3.132500,28.240000,17.501900,33.700001,18.917500
2012-12-14,31.959999,12.459500,20.530001,26.809999,2.390000,3.147500,26.809999,17.483467,31.139999,18.206785
2012-12-17,32.320000,12.693000,20.570000,27.100000,2.460000,3.135000,26.750000,17.952211,31.990000,18.529642
2012-12-18,32.880001,13.020000,20.959999,27.559999,2.520000,3.140000,27.709999,17.959435,32.270000,19.067858
2012-12-19,34.090000,12.899500,21.100000,27.309999,2.520000,3.162500,27.410000,17.935522,31.990000,18.796785
2012-12-20,33.939999,13.075000,21.030001,27.680000,2.400000,3.160000,27.360001,17.991564,31.900000,18.633215
2012-12-21,33.759998,12.846000,20.770000,27.450001,2.590000,3.087500,26.260000,17.823940,31.360001,18.547501
2012-12-24,33.610001,12.931000,20.639999,27.059999,2.480000,3.062500,26.930000,17.671265,31.150000,18.577499
2012-12-26,33.610001,12.431500,20.650000,26.860001,2.430000,3.060000,26.510000,17.655573,30.879999,18.321428
2012-12-27,33.270000,12.415500,20.510000,26.959999,2.390000,3.040000,26.049999,17.591312,31.370001,18.395000
2012-12-28,33.020000,12.259000,20.230000,26.549999,2.280000,3.025000,25.910000,17.434900,31.150000,18.199642
2012-12-31,33.320000,12.543500,20.620001,26.709999,2.400000,3.065000,26.620001,17.618462,31.650000,19.006071
2013-01-02,34.689999,12.865500,21.379999,27.620001,2.530000,3.180000,28.000000,18.013729,32.540001,19.608213
2013-01-03,34.310001,12.924000,21.320000,27.250000,2.490000,3.182500,27.770000,18.024191,32.709999,19.360714
2013-01-04,34.610001,12.957500,21.160000,26.740000,2.590000,3.287500,28.760000,18.380356,32.500000,18.821428
2013-01-07,34.430000,13.423000,21.250000,26.690001,2.670000,3.192500,29.420000,18.300158,32.320000,18.710714
2013-01-08,34.439999,13.319000,21.090000,26.549999,2.670000,3.122500,29.059999,18.264042,32.099998,18.761070
2013-01-09,34.459999,13.317500,21.450001,26.700001,2.630000,3.052500,30.590000,18.384092,32.810001,18.467857
2013-01-10,34.910000,13.267000,21.799999,26.459999,2.620000,3.057500,31.299999,18.467777,33.520000,18.696787
2013-01-11,34.860001,13.397000,22.000000,26.830000,2.670000,3.052500,31.719999,18.430668,34.340000,18.582144
2013-01-14,34.959999,13.636500,22.000000,26.889999,2.640000,3.050000,30.950001,18.013729,34.570000,17.919643
2013-01-15,34.700001,13.595000,21.879999,27.209999,2.680000,2.995000,30.100000,18.055573,33.869999,17.354286
2013-01-16,34.639999,13.446500,22.110001,27.040001,2.720000,3.022500,29.850000,17.812983,34.560001,18.074642
2013-01-17,34.619999,13.524000,22.680000,27.250000,2.740000,3.062500,30.139999,17.716595,34.810001,17.952856
2013-01-18,35.110001,13.606000,21.250000,27.250000,2.460000,3.042500,29.660000,17.546980,34.439999,17.857143
2013-01-22,34.930000,13.509500,21.170000,27.150000,2.450000,3.027500,30.730000,17.506132,34.439999,18.027500
2013-01-23,34.689999,13.405500,21.110001,27.610001,2.730000,3.032500,30.820000,18.468275,34.419998,18.357500
2013-01-24,34.939999,13.673000,20.950001,27.629999,2.790000,3.047500,31.080000,18.784840,33.930000,16.089287
2013-01-25,35.380001,14.199500,20.959999,27.879999,2.850000,3.102500,31.540001,18.771391,34.160000,15.710000
2013-01-28,35.540001,13.802000,21.049999,27.910000,2.820000,3.152500,32.470001,18.698166,34.480000,16.065357
2013-01-29,35.779999,13.017500,21.280001,28.010000,2.740000,3.085000,30.790001,18.771639,34.570000,16.366785
2013-01-30,35.380001,13.638000,21.370001,27.850000,2.650000,3.080000,31.240000,18.775375,35.049999,16.315357
2013-01-31,35.509998,13.275000,21.040001,27.450001,2.600000,3.065000,30.980000,18.821701,35.770000,16.267500
2013-02-01,36.209999,13.250000,21.360001,27.930000,2.600000,3.092500,29.730000,19.317593,36.259998,16.200714
2013-02-04,35.130001,12.999000,21.160000,27.440001,2.520000,3.040000,28.110001,18.904640,35.180000,15.797143
2013-02-05,35.480000,13.344500,21.180000,27.500000,2.600000,3.110000,28.639999,19.072014,35.410000,16.351429
2013-02-06,35.099998,13.111000,20.990000,27.340000,2.600000,3.085000,29.049999,19.182350,35.639999,16.333929
2013-02-07,34.560001,13.011500,20.809999,27.280001,2.570000,3.072500,28.650000,19.276497,34.959999,16.722143
2013-02-08,34.900002,13.097500,21.000000,27.549999,2.590000,3.092500,28.549999,19.560930,35.320000,16.963572
2013-02-11,34.959999,12.860500,21.030001,27.860001,2.670000,3.127500,28.260000,19.487455,35.400002,17.140356
2013-02-12,35.110001,12.935000,21.190001,27.879999,2.770000,3.107500,27.370001,19.444616,35.139999,16.710714
2013-02-13,34.990002,13.473500,21.250000,28.030001,2.750000,3.092500,27.910000,19.498415,35.169998,16.678928
